ID,Title,Authors,Source Title,Publication Year,Volume,Issue,Supplement ,Beginning Page,Ending Page,DOI,Total Citations,Conference Title,Conference Date ,Exclude (y/n),Plant genotype origin,Continent,latitude,longitude,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Ecosystem,type of experiment,method primary,method secondary,hypothesis,secondary hypothesis,comments,Replicates ,Fitness measured (y/n),Proxy
74,Differing foraging responses by bees to the invasive thistle species Centaurea solstitialis L. in native (Greece) and non-native (USA) island ecosystems ,"Barthell John F, Clement Meredith L, Giannoni Manuel A, Liu Lucy, Presky Miyeon E, Redd JjeAnna R, Ricci Paige R, Stevison Blake K, Freeman Brett, Petanidou Theodora, Hranitz John M, Wells Harrington",Integrative and Comparative Biology,2010,50,,1,E203,,,0,Society for Integrative and Comparative Biology Annual Meeting ,Jan  2010,,"Greece, USA","Europe, North America",,,"Lesvos Island, Greece","Santa Cruz Island, California",,,,,island ,observational ,ex situ,pollinator observations,interactions,pollinators,"Yellow star-thistle is generally less attractive to honey bees on Lesvos relative to SCI, especially when in proximity to the competing flowering plant species Vitex agnus castus L. As shown in pairwise studies at these locales, yellow star-thistle is very effective in drawing bees from native plants in California but not so with honey bees in its native range in Greece. ",,n,
75,Effects of belowground resource use complementarity on invasion of constructed grassland plant communities,"Brown, Cynthia S; Rice, Kevin J",Biological Invasions,2010,12,5,,1319,1334,10.1007/s10530-009-9549-6,7,,,,USA,North America,,,"Hedgerow Farms, west side of the Sacramento Valley (38¡36«N, 121¡59«W)","Student experimental farm University of California Davis campus (38¡32«N, 121¡46«W)",,,,,constructed prairies communities ,manipulative,ex situ,"census, plant measurments",interactions,niche overlap and resource partitioning,"Growth of species with a variety of resource use patterns through greater species and functional diversity may help reduce the success of a range of invasive plants at the local, neighborhood scale",2,y," plant height, length of longest leaf or basal diameter, flower head numbers and diameter, biomass, ovule numbers, biomass"
76,Controlling invasive species in complex social landscapes ,"Espanchin-Niell, Rebecca S; Hufford, Matthew B; Aslan, Clare A; Sexton, Jason P; Port, Jeffrey D; Waring, Timothy M",Frontiers in Ecology and the Environment ,2010,8,4,,210,216,10.1890/090029,47,,,,USA,North America,,,"western foothills of CaliforniaÕs Sierra Nevada Mountains ( Amador, Calaveras, Tuolumne, and Mariposa counties)",,,,,,field,socioeconomical,ex situ,"survey, interview ",weed management,high land use diversity,"Incorporation of management mosaic dynamics into invasive species research and management is essential for successful control of invasions. As land becomes increasingly subdivided, each manager assumes responsibility for a smaller portion of the total damages imposed by invasive species; the incentive to control invasives is therefore diminished. Secondly, managers opting not to control the invasion increase control costs for neighboring land managers by allowing their lands to act as an invader propagule source",,n,
77,Late season targeted grazing of yellow star thistle (Centaurea sosltitialis) with goats in Idaho,"Goehring, Brianna J; Launchbaugh, Karen L; Wilson, Linda M",Invasive Plant Science and Mangement ,2010,3,2,,148,154,10.1614/IPSM-D-09-00004.1 ,3,,,,USA,North America,45¡45«N,116¡17«W,Bentz Ridge ,,,,,,pasture dominated by exotic annuals,manipulative,ex situ,survey,grazing,weed management ,Late-season goat grazing reduced plant and seedhead densities of yellow starthistle with few impacts to grasses or other forbs,,y,mature seedheads
78,"The small-scale spatio-temporal pattern of the seedbank and vegetation of a highly invasive weed, Centaurea solstitialis: strength in numbers","Lortie, Christopher J; Munshaw, Michael; Ditomaso, Joseph; Hierro, Jose L",Oikos,2010,119,3,,428,436,10.1111/j.1600-0706.2009.17962.x,7,,,,USA,North America,,,"Yolo county, California",,,,,,grasslands,observational,ex situ,"collection, measurments",seed limitation,,"The density of C. solstitialis seeds decreased from high to low extents of invasion, there was no relationship between the community seedbank and C. solstitialis seeds, and the distances between C. solstitialis plants was inversely related to the density of C. solstitialis seeds. ",,y,seed weight
79,The effect of Puccinia jaceae var. solstitialis on the yellow starthistle biological control insects Eustenopus villosus and Chaetorellia succinea,"O«Brian, Jon M; Kyser, Guy B; Woods, Dale M; Ditomaso, Joseph M",Biological Control,2010,52,2,,182,187,10.1016/j.biocontrol.2009.10.020,3,,,,USA,North America,,,"University of California Davis Plant Sciences Field Station, Yolo",,,,,,,manipulative,ex situ,"survey, measurments, counting",interactions,biocontrol ,"Although P. jaceae appeared to have a slight effect on yellow starthistle seedhead maturation, there was no effect of the rust on seadhead attack rates of either insect biological control. These results indicate that P. jaceae does not interact significantly with the insect biological control agents for yellow starthistle. ",4,y,"above ground biomass, total seedheads"
80,Effects of the rust Puccinia jaceae var. solstitialis on Centaurea solstitialis (yellow star thistle) growth and competition,"O«Brian, Jon M; Kyser, Guy B; Woods, Dale M; Ditomaso, Joseph M",Biological Control,2010,52,2,,174,181,10.1016/j.biocontrol.2009.10.019,5,,,,USA,North America,,,"University of California Davis Plant Sciences Field Station, Yolo",,,,,,field,manipulative,ex situ,"harvesting, survey, measurments, minolta SPAD Meter, counting",interactions,competition,"Measuring competition: relative yields for yst and wild oat, the relative crowding coefficient (RCC) and the relative yields totals (RYT) and aggressivity. P. jaceae may have some negative effects on yst growth, especially uner conditions of interspecific competition. However, the effects of P. jaceae appear to be of minor biological significance and are unlikely to cause major declines in  yst populations statewide. ",4-5,y,"biomass, chlorophyll content, seedhead, rosette, leaf number, "
81,"Establishment of the yellow starthistle rust in California: release, recovery and spread ","Woods, Dale M; Fisher, Alison J; Villegas Baldo",Plant Disease,2010,94,2,,174,178,10.1094/PDIS-94-2-0174,6,,,,USA,North America,,,California (20 counties),,,,,,field,manipulative,ex situ,"survey, GPS readings, measurments",biocontrol ,,"Fungus reemergence 1 and 2 years after inoculations was more likely in Northern compared to Southern California. In general, reemergence was more likely at lower elevations when release sites were within 150 km of the coast. Overall, the rust has not demonstrated a strong record of persistence based on these observations. ",,y,leaf (fungi pustules) 
82,Patterns in resource partitioning by insect biological control agents of yellow starthistle (Centaurea solstitialis L) in Washington,"Tonkel, Kirk C; Piper, Gary L",Northwest Science,2009,83,1,,16,24,10.3955/046.083.0102 ,1,,,,USA,North America,,,"5.5 km east of Bingen in Klickitat County (N45¡42'126"", W121¡24'876"")","14 km south of Lewiston, Idaho (N46¡15'926"", W116¡59'600""","3.7 km west of Lake Wallula in Benton County (N46¡05'298"", W118¡58'604"")",,,,mixed stands of yst and cheatgrass,observational,ex situ,"visual observations, harvesting, collection, measurments",niche partitioning,biocontrol ,"It is possible that niche partitioning is occurring between Chaetorellia spp. and E. villosus at a spatial scale larger than the plant stratum level. Differences in abundance of both agents at the site level are apparent, but the biotic and abiotic factors responsible are not known.",,y,"plant height, width, canopy diameter, seed head diameter"
83,Functionally similar species confer greater resistance to invasion: implications for grassland restoration,"Young, Stephen L; Barney, Jacob N; Kyser, Guy B; Jons, Tracy S; DiTomaso, Joseph M",Restoration Ecology,2009,17,6,,884,892,10.1111/j.1526-100X.2008.00448.x,20,,,,USA,North America,,,"Western Sacramento Valley (northern Central Valley), California",,,,,,site dominated by agricultural weeds,manipulative,ex situ,"monitoring, measurments, visual estimations ",plant community invasibility,restoration ,"Communities containing E. glaucus which is functionally similar to C. solstitialis, better resisted invasion than communities lacking a functional analog. In contrast, G. camporum, which is also funtionally similar to C. solstitialis, failed to survive. ",5,n,
84,The seed bank longevity index revisited: limited reliability evident from a burial experiment and database analyses ,"Saatkamp, Arne; Affre, Laurence; Dutoit, Thierry; Poschlod, Peter",Annals of Botany,2009,104,4,,715,724,10.1093/aob/mcp148,31,,,,France,Europe,43¡46_5__N,5¡21_2__E,"Cucuron, south eastern France",,,,,,agricultural/laboratory,manipulative,ex situ,"collection, counting",seed bank persistence ,,"Using the seedling emergence method, seed longevity estimates for smaller seeds (i.e. more numerous) are higher without a higher soil seed survival, because mechanisms that compensate larger seeds for their lower number act after germination, at the seedling stage.",5,y,number of seeds per fruit
85,Susceptibility of yellow starthistle to Puccinia jaceae var. solstitialis and greenhouse production of inoculum for classical biological control programs,"Woods, Dale M; Bruckart, William III; Pitcairn, Michael; Popescu, Viola; O«Brien, Jon",Biological Control,2009,50,3,,275,280,10.1016/j.biocontrol.2009.04.010 ,7,,,,USA,North America,,,Vegetable Crops Field Station in Davis ,CDFA grenhouse Sacramento,Napa ,,,,greenhouse/field,manipulative/observational,ex situ,"collection, visual evaluation, weighting",susceptibility of various yst accessions to rust fungus,biocontrol,Uniform susceptibility of yst accessions (62) representing various habitats and locations in California.,,y,leaf (fungi pustules) 
86,Climate change and plant invasions: restoration opportunities ahead?,Global Change Biology,"Bradley, Bethany A; Oppenheimer, Michael; Wilcove, Davis S",2009,15,6,,1511,1521,10.1111/j.1365-2486.2008.01824.x ,101,,,,USA,North America,,,Princeton University,,,,,,laboratory,observational,ex situ,"modelling, survey, mapping",predicting invasive plant distribution,bioclimatic envelope model,"Our results suggest that considerable changes in invasive species distribution may result from climate change. We have identiÞed regions of the country that may become prone to invasion by one or more of these plants in the next century, as well as invaded lands which may no longer be climatically suitable for these invasive species.",,n,
87,"Pollinators of the invasive plant, yellow starthistle (Centaurea solstitialis), in north-eastern Oregon, USA ","Mciver, James; Thorp, Robbin; Erickson, Karen",Weed Biology and Mangement,2009,9,2,,137,145,10.1111/j.1445-6664.2009.00331.x ,6,,,,USA,North America,,,North eastern Oregon (6 sites) ,,,,,,"sites varying in the degree of human disturbance (relatively undisturbed, least disturbed and highly disturbed) ",observational,ex situ,"collection, survey, pollen identification",pollinator composition and abundance ,,"The flowers of yst attracted more than 200 insect species in NE Oregon, but just ten species probably provied most of the pollination service for this invasive plant over 3 year study period. Consistent patterns of interannual variation also were observed. These patterns of flower visitation are interpreted in the context of the plant community within which yellow starthistle grows in north eastern Oregon. ",,n,
88,Population level compensation by an invasive thistle thwarts biological control from seed predators ,"Garren, Julie M; Strauss, Sharon Y",Ecological Applications,2009,19,3,,709,721,10.1890/07-0646.1,24,,,,USA,North America,,,"Putah Creek riparian Reserve, UC Davis","Capay valley, Brooks, California",,,,,"fallow field, grassland/controlled environmental chamber ",manipulative,ex situ,"pollinator observations, countings, collection, monitoring",compensation for seed loss,biocontrol,"Using experimental removals of biocontrol agents and seed addition experiments at 2 different sites, we show that despite large losses of individual plant fitness to seed predators (more than 70% seeds destroyed) , biocontrol agents failed to reduce population size of yst. The thwarting of these seemingly effective agents occurred primarily through density dependent seedling mortality through self thinning, plant plasticity and size hierarchies resulting in constant final yield in seed production. ",,y,"plant height, seeds "
89,Sesquiterpene lactones with antinociceptive and antipyretic activity from two Centaurea species,"Akkol, Esra Kuepeli; Arif, Reyhan; Ergun, Fatima; Yesilada, Erdem",Journal of Ethnopharmacology,2009,122,2,,210,215,10.1016/j.jep.2009.01.019 ,15,,,,Turkey,Eurasia,,,"Gazi University, Ankara",,,,,,laboratory,manipulative,ex situ,"collection, chemical characterization of active ingredient, observation, mortality record, deep ether anesthesia, examination under dissecting microscope",antinociceptive and antipyretic activity,,The aerial parts of C. solstitialis ssp solstitialis possesses significant antinociceptive and antipyretic effects which proved the folkloric claim in Turkish folk medicine. Two sesquiterpene lactones solstitialin A and acetyl solstitialin were isolated as the active constituients. ,,n,
90,Germination responses of an invasive species in native and non-native ranges,"Hierro, Jose L; Eren, Ozkan; Khetsuriani, Liana; Diaconu, Alecu; Torok, K; Montesinos, Daniel; Andonian, Krikor; Kikodze, David; Janoian, Levan; Villarreal, Diego, Estanga-Mollica, Maria E; Callaway, Ragan M",Oikos,2009,118,4,,529,538,10.1111/j.1600-0706.2009.17283.x ,45,,,,"Argentina, USA, Turkey, Republic of Georgia, France, Crete, Armenia, Romania, Hungary, Spain","North America, South America, Europe, Eurasia",,,University of Montana Missoula ,,,,,,common garden experiment ,manipulative,ex situ,"light meter, germination assessment, manual cross polinnation,  harvesting",germination response,adaptation,"Seeds from all native populations irrespective of the precipitation seasonality of the region in which they occurred, and non native populations from regions with dry summers displayed similarly high germination proportions and rates. In contrast, genotypes from the non native region with predominantly summer rain exhibited much lower germination fractions and rates. Also, percent germination was strongly correlated with variation in precipitation in winter, the season that follows germination for C. solstitialis. ",,y,seed germination
91,Cage matching: head to head competition experiments of an invasive plant species from different regions as a means to test for differentiation,"Lortie, Christopher J; Munshaw, Michael; Zikovitz, Andrea; Hierro, Jose L",Plos One,2009,4,3,,e4823,,10.1371/journal.pone.0004823,3,,,,"Argentina, USA","North America, South America",,,"York University, Canada",,,,,,greenhouse,manipulative,ex situ,"harvesting, weighting ",density effects,competition,There was no evidence for density dependence in any measure for the California region but negative density dependence was detected in the germination of seeds from Argentina. The relative differences in competition also differed between regions with no evidence of differential competitive effects of seeds from Argentina in mixture versus monoculture while seeds from California expressed a relative cost in germination and relative growth rate in mixtures with Argentina,10,y,"germination, relative growth rate, biomass, survival"
92,Competitive effects of the alien invasive Centaurea solstitialis on two Chilean Baccharis species at different life cycles stages,"Gomez-Gonzalez, Susana; Cavieres, Lohengrin A; Torres, Patricio; Torres-Diaz, Cristian ",Gayana Botanica,2009,66,1,,71,83,10.4067/S0717-66432009000100007,1,,,,Chile,South America,,,"Universidad de Concepci—n, Chile","Instituto de Ecolog’a y Biodiversidad, Universidad de Chile ",,,,,growth chamber/greenhouse,manipulative,ex situ,"record seedling emergence, calculate final percentage of seedlings, measurments",interactions,competition,"Under the controlled conditions of our experiments, we found that C. solstitialis produced different effects on Baccharis species depending on the life-cycle stage at which plant interactions occurred. At the seed stage, while there were no allelopathic effects of the invader on Baccharis spp., C. solstitialis seeds did emerge later in presence of B. linearis seeds. The presence of established C. solstitialis individuals did not affect negatively the seed germination of the natives. Instead of this, seed germination of B. paniculata was accelerated in presence of one C. solstitialis individual. However, established C. solstitialis individuals reduced the performance (biomass) of both native Baccharis species.","4, 10",y,"coefficient of velocity of germination, number of days to germinate, root, shoot, total dry biomass, root:shoot ratio"
93,Puccinia jaceae var. solstitialis teliospore priming on yellow starthistle ,"Fisher, Aj; Aegerter BJ; Gordon TR; Smith, L; Woods, DM",Phytopathology,2009,99,1,,67,72,10.1094/PHYTO-99-1-0067,4,,,,USA,North America,,,"Napa, California","Woodland, California","California Department of Food and Agriculture (CDFA), Sacramento","Western Regional Research Center (WRRC), Albany, California"," Armstrong Field Station, University of California, Davis",,grasslands/outdoor planting bed/laboratory,manipulative,ex situ,"collection, observations, counting, monitoring, data loggers",teliospore emegence and priming ,biocontrol,"P. jaceae var. solstitialis has the potential to negatively impact very young YST plants. To expect similar results in the field, YST would have to become infected at the young rosette stage.",2 -only the priming experiment in the lab,y,leaf (fungi pustules) 
94,Antiviral and antimicrobial activities of three sesquiterpene lactones from Centaurea sosltitialis L ssp. solstitialis,"Ozcelik, Berrin; Gurbuz, Ilhan; Karaoglu, Taner; Yesilada, Erdem",Microbiological Research,2009,164,5,,545,552,10.1016/j.micres.2007.05.006 ,32,,,,Turkey,Eurasia ,,,"Gazi University, Ankara",University of Ankara,"Yeditepe University, Istanbul",,,,laboratory,manipulative,ex situ,"collection, elucidate chemical structure of isolated compounds, bioassays","antimicrobial, antifungal and antiviral activity",,13-acetyl solstitialin  A possess significan antiviral activity and remarkable antibacterial activity against isolated strains of E. faecalis at 1ug/ml concentration. ,,n,
95,"A citogenetical study on some plants taxa in Nizip region (Aksaray, Turkey)","Ozturk, Mereyem; Martin, Esra; Dinc, Muhittin; Duran, Ahmet; Ozdemir, Ayse; Cetin, Ozlem",Turkish Journal of Biology,2009,33,1,,35,44,10.3906/biy-0805-22,7,,,,Turkey,Eurasia,,,"Seluk University, Konya",,,,,,laboratory,manipulative,ex situ,"collection, chromosome preparation, photographs (olympus microscope), ideogram preparation, measurments ",chromosome number,,C. solstitialis subsp. solstitialis somatic chromosome number: 2n=16 chromosomes ,,n,
96,Practical challenges in private stewardship of rangeland ecosystems: yellow star thistle control in Sierra Nevadan foothills,"Aslan, Clare E; Hufford, Matthew B; Espanchin-Niell, Rebecca; Port, Jeffrey D; Sexton, Jason P; Waring, Timothy M ",Rangeland Ecology and Mangaement,2009,62,1,,28,37,10.2111/07-123,14,,,socio economic study,,,,,CaliforniaÕs Sierra Nevada foothills (area) ,Amador,Calaveras,Tuolumne,Mariposa,,field,socioeconomical,ex situ,"survey, interview, digital recording ",weed management,,"Document the weed control efforts of 202 ranchers and to identify practical limitations to their efficacy. Overall, 86% of ranchers who had experienced yellow starthistle infestation had attempted control, using one or more of 19 methods. Early response reduced negative effects from yellow starthistle. Control methods learned from agricultural advisors were reported more effective than those learned elsewhere. Limitations to yellow starthistle control in our study population resulted from incomplete information regarding control methods, complexity of weed control in heterogeneous landscapes, inconsistent application of methods, and lack of long-term planning for weed control",,n,
97,A two-agent dynamic model with an invasive weed diffusion externality: An application to Yellow Starthistle (Centaurea solstitialis L.) in New Mexico,"Grimsrud, Kristine M; Chermak, Janie M; Hansen, Jason; Thacher, Jennifer A; Krause, Krate; ",Journal of Environmental Management,2009,89,4,Special Issue ,322,335,10.1016/j.jenvman.2007.05.020,10,,,economic model ,,,,,"University of New Mexico, Albuquerque",,,,,,laboratory,manipulative,ex situ,"data gathering, modelling",weed management,,"Without some form of incentive payment the rancher will not exert any effort to control YST. Unless the cost sharing is sufficient to cover the costs of several treatments, eradication, control is difficult. ",,n,
98,Palynological and physicochemical characteristics of three unifloral honey types from central Argentina,"Naab, OA; Tamame, MA; Caccavari, MA",Spanish Journal of Agricultural Research,2008,6,4,,566,576,10.5424/sjar/2008064-351 ,15,,,analysis of honey,Argentina,South America,,,"Universidad Nacional de La Pampa, Santa Rosa"," Centro de Investigaciones Cient’ficas y Transferencia de Tecnolog’a a la Producci—n, Diamante",,,,,laboratory,manipulative,ex situ,"pollen identification and content, determine physicochemical parameters (colour, conductivity, acidity, glucose, glucose:water ratio, moisture, pH)",unifloral honey characteristics ,,Pollen analysis showed that the pollen frequency traditionally used (> 45%) for a botanical origin assignment in honey was not valid for the unifloral honeys studied. ,,n,
99,"Protocol for maintenance of Synchytrium sosltitiale, cause of false rust on yellow starthistle, under greenhouse conditions","Eskandari, FM; Bruckart III, WL; Widmer, TL",Phytopathology,2008,98,6,S,S214,S215,,1,,,,USA,North America,,,Foreign Disease-Weed Science Research Unit ,,,,,,growth chamber/greenhouse,manipulative,ex situ,visual observations,fungus maintenance protocol ,biocontrol,Maintain S. solstitiale artificially in the greenhouse for over a year,,y,leaf (gall formation)
100,Seasonal change in forage value of rangeland weeds in Northern Idaho ,"Frost, Rachel A; Wilson, Linda m; Launchbaugh Karen L; Hovde, Elayne M",Invasive Plant Science and Management,2008,1,4,,343,351,10.1614/IPSM-07-061.1 ,10,,,,USA,North America,,,"University of Idaho, Moscow",,,,,,laboratory,manipulative,ex situ,"collection, drying, grounding, analyze crude protein, neutral detergent fiber and mineral content ",forage quality,weed management ,"As the season advanced,all plants lost protein content and ended the season with CP valuesfrom5 to 8% at seed set. Ash values declined for all species as the season progressed. Our results indicate that these weeds have forage values similar to many native plants and could be reasonable forage resources for livestock. ",,n,
101,Natural history studies for the preliminary evaluation of Larinus filiformis (Coleoptera: Curculionidae) as a prospective biological control of yellow starthistle ,"Gueltekin, L; Christofaro, M; Tronci, C; Smith L",Environmental Entomology,2008,37,5,,1185,1199,10.1603/0046-225X(2008)37[1185:NHSFTP]2.0.CO;2 ,6,,,,"Turkey, USA","Eurasia, North America",,,"central and eastern Turkey (Adana, Adiyaman, Ankara,Bayburt, Bingol, Elazig, Erzincan, Erzurum, Hatay, Igdir, Kars, Kayseri, Kirikkale, Nevsehir, Nigde, Sivas)",principal study sites were located in Bingol and Igdir: from 35 km northeast of Bingol to 15 km west of Bingol; from 6 km east of Tuzluca to 7 km east of Igdir ,"Ataturk University, Erzurum",Ataturk University campus (4 km west of the Agricultural Department),,,Quercus forest with open areas and abandoned fields /semidesert/greenhouse/climate chamber/sleeve cage field experiment,observational/manipulative,ex situ,"collection,  survey, dissections, counting",suitability as biological control agent,,"At field sites in central and eastern Turkey, adults were well synchronized with the plant, being active from mid-May to late July and ovipositing in capitula (flowerheads) of C. solstitialis from mid-June to mid-July. Larvae destroy all the seeds in a capitulum. The insect is univoltine inTurkey,and adults hibernate from mid-September to mid-May.In the spring, before adults begin ovipositing, they feed on the immature flower buds of C. solstitialis, causing them to die. The weevil destroyed 25-75% of capitula at natural field sites, depending on the sample date. Preliminary host specifcity experiments on adult feeding indicate that the weevil seems to be restricted to a relatively small number of plants within the Cardueae.",,y,capitula
102,Antioxidant property of Centaurea solstitialis L. from Konya Turkey ,"Tekeli, Yener; Sezgin, Mehmet; Aktumsek, Adurrahman",Asian Journal of Chemistry,2008,20,6,,4831,4835,,5,,,,Turkey,Eurasia,,,"Selcuk University, Konya",,,,,,laboratory,manipulative,ex situ,"collection, grounding, chemical extraction, measure antioxidant activity",scavenging potential ,,C. solstitialis can be used as an accessible source of natural antioxidants and as a possible food supplement or in the pharmaceutical industry.,3,n,
103,Seasonal phenology and impact of Urophora sirunaseva on yellow starthistle seed production in California,"Woods, Dale M; Pitcairn, Michael J; Joley, Donald B; Turner, Charles E",Biological Control,2008,47,2,,172,179,10.1016/j.biocontrol.2008.08.011 ,4,,,,USA,North America,,,"Ukiah (39¡4.40_N, 123¡12.30_W)","Winters (38¡28.87_N, 122¡2.35_W)",,,,,grassy hillside/dry hillside/greenhouse,manipulative,ex situ,"collection, estimations, counting, survey, measurments, weighting",biocontrol ,,The impact of the gall fly was greatest in smaller seedheads at both sites. Gall densities did not reach levels needed to exert significant control of seed production. Seed production in non-galled seedheads was not affected by the presence of galls in seedheads elsewhere on the plant. Gall flies were more likely to attack plants already supporting galls,,y,"seeadheads diameters, seed number and viability, biomass"
104,First report of leaf spot caused by Periconia igniaria on yellow starthistle in Russia,"Kolomiets, T; Pankratova, L; Mukhina, Z; Kassanelly, D; Matveeva, T, Bogomaz D, Berner D",Plant Disease,2008,92,6,,983,983,10.1094/PDIS-92-6-0983A ,2,,,full text requested,Russia,Eurasia,,,,,,,,,,,,,,,,,,
105,The effect of targeted grazing and biological control on yellow starthistle (Centaurea solstitialis) in Canyon grasslands of Idaho,"Wallace, Jobn M; Wilson, Linda M; Launchbaugh, Karen L",Rangeland Ecology and Mangaement,2008,61,3,,314,320,10.2458/azu_jrm_v61i3_wallace,7,,,,USA,North America,46¡28«N,116¡51«W,"19 km southeast of Genesee, Idaho",,,,,,grasslands,manipulative,in situ,"visual estimates, plant tagging, collection, dissection, counting, identification",grazing,weed management,"Although grazing at the rosette and bolting stages yielded more buds compared to ungrazed plants, seed production was negligible and did not differ from ungrazed plants or other grazing treatments in 2003, which suggests that prevailing drought conditions negated the benefits of increased bud production. Conversely, grazing at the bolting stage, as well as the rosette stage, resulted in a net increase in seed production per plant compared to ungrazed plants in 2004 under more favorable precipitation patterns. Such trends suggest that grazing yellow starthistle early in the growing season may result in increased seed production when spring soil moisture prevails.",4,y,"plant height, secondary branches, total number of buds, seeds"
106,"In situ volatile collection, analysis, and comparison of three Centaurea species and their relationship to biocontrol with herbivorous insects","Beck, John J; Smith, Lincoln, Merrille, Glory B",Journal of Agricultural and Food Chemistry,2008,56,8,,2759,2764,10.1021/jf073383u,20,,,,USA,North America,,,"USDA-ARS, Albany",,,,,,greenhouse,manipulative,ex situ,"volatile collection, analysis, identification",chemical defense ,,VOCs from rosette leaves and their relationship to the prospective biological control agent Ce. basicorne. The leaves of each plant were measured with and without three types of damage to determine the effect on VOCs ,4,y,volatile organic compounds 
107,Climate change effects on poikilotherm tritrophic interactions,"Gutierrez, Andrew Paul; Ponti, Luigi; D«Oultremont, Thibaud; Ellis, CK",Climatic Change,2008,87,,1,S167,S192,10.1007/s10584-007-9379-4 ,31,,,mathematical model,,,,,"University of California, Berkeley",,,,,,laboratory,manipulative,ex situ,"data gathering, modelling",climate model projections,,Capitula abundance increases northward but decreases in the hotter southern parts of YSTÕs range where it was increasingly limited by low rainfall and high temperatures,,n,
108,Latent period and viability of Puccinia jaceae var. solstitialis urediniospores: Implications for biological control of yellow starthistle,"Fisher, AJ; Woods, Dale M; Smith, Lincoln; Bruckart William L III",Biological Control,2008,45,1,,146,153,10.1016/j.biocontrol.2007.10.008 ,6,,,,USA,North America,,,"California Department of Food and Agriculture, Sacramento","WRRC, Albany (san Francisco Bay area)","Armstrong Field Station, UC Davis, central Valley",Napa,Central Valley near Woodland,,greenhouse/dew chamber/grasslands,manipulative,ex situ/in situ,"harvest, thermohygrometer, monitoring, data loggers (temperature)",urediniospore viability,biocontrol,"Viability of urediniospores stored in the laboratory gradually declined over a period of 10 weeks, spore hydration increased germination. Introductions of harvested infected plant material would have to be done quickly to offset losses in urediniospore viability. Latent periods ranged from four to five weeks at cool winter temperatures to two to three weeks at warm summer temperatures in both the laboratory and field. Urediniospores are not likely to remain viable through the summer and fall dry season. ",3 - urediniospore viability in the lab ,y,leaf (pustule formation)
109,Allelopathic effect of some essential oils and components on germination of weed species ,"Azirak, Sevile; Karaman, Sengul",Acta Agriculturae Scandinavica Section B Soil and Plant Science,2008,58,1,,88,92,10.1080/09064710701228353 ,37,,,,Turkey,Eurasia,,,"Cukurova University, Adana","Field Crops Department, Kahramanmaras Sutcu Imam University",,,,,laboratory,manipulative,ex situ,"collection, essential oil extraction, countings",inhibitory effects,,"Essential oils from Carum carvi, Mentha spicata, Origanum onites and Thymbra spicata showed high inhibitory effect against weed seeds at lower concentrations. The main components (carvacrol, thymol, carvone, limonene) of these four essential oils were tested for seed germination at four different concentrations (500, 250, 125 and 62.5 mg/ml) against the same weeds.Thymol, carvacrol and carvone showed high inhibition even at low concentrations against weed seeds.",3,n,
110,"Broad nosed weevils feeding on Centaurea solstitialis in Turkey, with a description of the new species of Araxia cristofaroi sp. N. (Coleoptera, curculionidae, Entiminae)","Gultekin, L; Borovec, R; Cristofaro, M; Smith, L",Annals of the Entomological Society of America,2008,101,1,,7,12, 10.1603/0013-8746(2008)101[7:BWFOCS]2.0.CO;2 ,1,,,,Turkey,Eurasia,,,"campus of Ataturk University, Eruzurum ","North Eastern and Southeastern Anatolia (18 km west of Kayseri, 8.5 km south of Cat, 12 km northweast of Askale, Erzurum, 12 km west of Bingol and 35 km NE of Bingol)",,,,,"laboratory, screen field cages, continental",observational/manipualtive,in situ/ex situ,"survey, collection, rearing cages, measurments, identifications",new biological control agents ,,"Four species of broad-nosed weevils (subfamily Entiminae) that are newly associated with this plant: Epiphanops persicus (Chevrolat), Eusomomorphus oligops Daniel, Altonomus modestus (Khnzorian), and Araxia cristofaroi sp. n. Host plants of these species are recorded for the _rst time",,y,"spines, flower heads"
111,Brine shrimp lethality bioassay of selected Centaurea L species (Asteraceae),"Janackovic, P; Tesevic, V; Marin, PD; Milosljevic, S; Duletic-Lausevic, S",Archives of Biological Sciences,2008,60,4,,681,685,10.2298/ABS0804681J ,2,,,,Serbia,Europe,,,University of Belgrade,,,,,,laboratory,manipulative,ex situ,"collection, ether extraction, counting",brine shrimp cytotoxicity assay ,,"Ether extracts of 15 Centaurea L. species (Asteraceae) methanol extracts of 12 species, and cnicin isolated from C. derventana were tested for general bioactivity using the brine shrimp lethality test. Cnicin showed the most potent activity.",5 - each dose level ,n,
